config_name,shift_type,dataset,backbone,setup,test_accuracy,augrc_mean,filename
ID_breastmnist_vit_b_16_DADO,ID,breastmnist,vit_b_16,DADO,0.8333333333333334,0.029709072978303733,uq_benchmark_breastmnist_vit_b_16_DADO_20260114_161721.json
ID_breastmnist_vit_b_16_DO,ID,breastmnist,vit_b_16,DO,0.8525641025641025,0.029483070348454973,uq_benchmark_breastmnist_vit_b_16_DO_20260114_161412.json
ID_breastmnist_vit_b_16_Baseline,ID,breastmnist,vit_b_16,S,0.8846153846153846,0.034640039447731766,uq_benchmark_breastmnist_vit_b_16_20260114_160246.json
ID_dermamnist-e-id_resnet18_DA,ID,dermamnist-e-id,resnet18,DA,0.6845188284518828,0.09359324941790237,uq_benchmark_dermamnist-e-id_resnet18_DA_20260117_124250.json
ID_dermamnist-e-id_resnet18_DADO,ID,dermamnist-e-id,resnet18,DADO,0.7087866108786611,0.07812188161971952,uq_benchmark_dermamnist-e-id_resnet18_DADO_20260117_130111.json
ID_dermamnist-e-id_resnet18_DO,ID,dermamnist-e-id,resnet18,DO,0.7740585774058577,0.05360480383746784,uq_benchmark_dermamnist-e-id_resnet18_DO_20260117_125113.json
ID_dermamnist-e-id_resnet18_Baseline,ID,dermamnist-e-id,resnet18,S,0.7305439330543934,0.07018364524430597,uq_benchmark_dermamnist-e-id_resnet18_20260117_122932.json
ID_dermamnist-e-id_vit_b_16_DA,ID,dermamnist-e-id,vit_b_16,DA,0.7539748953974895,0.056600549710264195,uq_benchmark_dermamnist-e-id_vit_b_16_DA_20260117_134114.json
ID_dermamnist-e-id_vit_b_16_DADO,ID,dermamnist-e-id,vit_b_16,DADO,0.7866108786610879,0.04699952731919957,uq_benchmark_dermamnist-e-id_vit_b_16_DADO_20260117_143735.json
ID_dermamnist-e-id_vit_b_16_DO,ID,dermamnist-e-id,vit_b_16,DO,0.7380753138075313,0.06777577423364439,uq_benchmark_dermamnist-e-id_vit_b_16_DO_20260117_140859.json
ID_dermamnist-e-id_vit_b_16_Baseline,ID,dermamnist-e-id,vit_b_16,S,0.7514644351464436,0.06312109381838554,uq_benchmark_dermamnist-e-id_vit_b_16_20260117_132035.json
ID_octmnist_resnet18_DA,ID,octmnist,resnet18,DA,0.933,0.01295149999999999,uq_benchmark_octmnist_resnet18_DA_20260115_052407.json
ID_octmnist_resnet18_DADO,ID,octmnist,resnet18,DADO,0.948,0.008391000000000011,uq_benchmark_octmnist_resnet18_DADO_20260115_070330.json
ID_octmnist_resnet18_DO,ID,octmnist,resnet18,DO,0.931,0.01372749999999999,uq_benchmark_octmnist_resnet18_DO_20260115_060118.json
ID_octmnist_resnet18_Baseline,ID,octmnist,resnet18,S,0.922,0.01718299999999999,uq_benchmark_octmnist_resnet18_20260115_045454.json
ID_octmnist_vit_b_16_DA,ID,octmnist,vit_b_16,DA,0.954,0.009000000000000006,uq_benchmark_octmnist_vit_b_16_DA_20260115_094710.json
ID_octmnist_vit_b_16_DADO,ID,octmnist,vit_b_16,DADO,0.953,0.0075485000000000135,uq_benchmark_octmnist_vit_b_16_DADO_20260115_124435.json
ID_octmnist_vit_b_16_DO,ID,octmnist,vit_b_16,DO,0.939,0.011362499999999989,uq_benchmark_octmnist_vit_b_16_DO_20260115_111245.json
ID_octmnist_vit_b_16_Baseline,ID,octmnist,vit_b_16,S,0.929,0.013590499999999991,uq_benchmark_octmnist_vit_b_16_20260115_082601.json
ID_organamnist_resnet18_DA,ID,organamnist,resnet18,DA,0.9759253009337383,0.0015200852007574697,uq_benchmark_organamnist_resnet18_DA_20260114_181459.json
ID_organamnist_resnet18_DADO,ID,organamnist,resnet18,DADO,0.9697378782765216,0.0017199951639146546,uq_benchmark_organamnist_resnet18_DADO_20260114_195929.json
ID_organamnist_resnet18_DO,ID,organamnist,resnet18,DO,0.9740128248396895,0.0013123981664032753,uq_benchmark_organamnist_resnet18_DO_20260114_191429.json
ID_organamnist_resnet18_Baseline,ID,organamnist,resnet18,S,0.9742378220272246,0.0015077741413483804,uq_benchmark_organamnist_resnet18_20260114_175337.json
ID_organamnist_vit_b_16_DA,ID,organamnist,vit_b_16,DA,0.9791877601529981,0.0009310369192440437,uq_benchmark_organamnist_vit_b_16_DA_20260115_000313.json
ID_organamnist_vit_b_16_DADO,ID,organamnist,vit_b_16,DADO,0.9780065249184385,0.0012278233081316973,uq_benchmark_organamnist_vit_b_16_DADO_20260115_123637.json
ID_organamnist_vit_b_16_DO,ID,organamnist,vit_b_16,DO,0.9789627629654629,0.0009639170347360208,uq_benchmark_organamnist_vit_b_16_DO_20260115_023834.json
ID_organamnist_vit_b_16_Baseline,ID,organamnist,vit_b_16,S,0.9793002587467656,0.0009061426978534677,uq_benchmark_organamnist_vit_b_16_20260114_220519.json
ID_pathmnist_resnet18_DA,ID,pathmnist,resnet18,DA,0.9750696378830084,0.003918546954167022,uq_benchmark_pathmnist_resnet18_DA_20260114_190128.json
ID_pathmnist_resnet18_DADO,ID,pathmnist,resnet18,DADO,0.9706128133704736,0.0037560326968288575,uq_benchmark_pathmnist_resnet18_DADO_20260114_210443.json
ID_pathmnist_resnet18_DO,ID,pathmnist,resnet18,DO,0.9332869080779944,0.0074173947284704635,uq_benchmark_pathmnist_resnet18_DO_20260114_201541.json
ID_pathmnist_resnet18_Baseline,ID,pathmnist,resnet18,S,0.9337047353760446,0.008232361635927717,uq_benchmark_pathmnist_resnet18_20260114_175737.json
ID_pathmnist_vit_b_16_DA,ID,pathmnist,vit_b_16,DA,0.9814763231197772,0.002718253660353348,uq_benchmark_pathmnist_vit_b_16_DA_20260115_005821.json
ID_pathmnist_vit_b_16_DADO,ID,pathmnist,vit_b_16,DADO,0.9785515320334262,0.0026341353651818393,uq_benchmark_pathmnist_vit_b_16_DADO_20260115_060002.json
ID_pathmnist_vit_b_16_DO,ID,pathmnist,vit_b_16,DO,0.9731197771587744,0.0024305463955121387,uq_benchmark_pathmnist_vit_b_16_DO_20260115_033429.json
ID_pathmnist_vit_b_16_Baseline,ID,pathmnist,vit_b_16,S,0.9766016713091922,0.00263956673210171,uq_benchmark_pathmnist_vit_b_16_20260114_225606.json
ID_pneumoniamnist_resnet18_DA,ID,pneumoniamnist,resnet18,DA,0.9342948717948718,0.009796443540433917,uq_benchmark_pneumoniamnist_resnet18_DA_20260115_033431.json
ID_pneumoniamnist_resnet18_DADO,ID,pneumoniamnist,resnet18,DADO,0.9375,0.009424052843523994,uq_benchmark_pneumoniamnist_resnet18_DADO_20260115_034504.json
ID_pneumoniamnist_resnet18_DO,ID,pneumoniamnist,resnet18,DO,0.9246794871794872,0.014889207347140025,uq_benchmark_pneumoniamnist_resnet18_DO_20260115_033932.json
ID_pneumoniamnist_resnet18_Baseline,ID,pneumoniamnist,resnet18,S,0.9118589743589743,0.013697557117028279,uq_benchmark_pneumoniamnist_resnet18_20260115_032639.json
ID_pneumoniamnist_vit_b_16_DA,ID,pneumoniamnist,vit_b_16,DA,0.9391025641025641,0.008123253616042082,uq_benchmark_pneumoniamnist_vit_b_16_DA_20260115_040323.json
ID_pneumoniamnist_vit_b_16_DADO,ID,pneumoniamnist,vit_b_16,DADO,0.9471153846153846,0.008625339003944785,uq_benchmark_pneumoniamnist_vit_b_16_DADO_20260115_042541.json
ID_pneumoniamnist_vit_b_16_DO,ID,pneumoniamnist,vit_b_16,DO,0.9262820512820513,0.01195245726495726,uq_benchmark_pneumoniamnist_vit_b_16_DO_20260115_041448.json
ID_pneumoniamnist_vit_b_16_Baseline,ID,pneumoniamnist,vit_b_16,S,0.9038461538461539,0.01646994165023011,uq_benchmark_pneumoniamnist_vit_b_16_20260115_035420.json
ID_tissuemnist_resnet18_DA,ID,tissuemnist,resnet18,DA,0.6963409475465313,0.09569835001223942,uq_benchmark_tissuemnist_resnet18_DA_20260115_172703.json
ID_tissuemnist_resnet18_DADO,ID,tissuemnist,resnet18,DADO,0.6823604060913706,0.10439894517236836,uq_benchmark_tissuemnist_resnet18_DADO_20260116_000710.json
ID_tissuemnist_resnet18_DO,ID,tissuemnist,resnet18,DO,0.6905456852791878,0.09842057840785784,uq_benchmark_tissuemnist_resnet18_DO_20260115_205801.json
ID_tissuemnist_resnet18_Baseline,ID,tissuemnist,resnet18,S,0.6760998307952623,0.10519242341767805,uq_benchmark_tissuemnist_resnet18_20260115_144142.json
ID_tissuemnist_vit_b_16_DA,ID,tissuemnist,vit_b_16,DA,0.7180414551607445,0.08451329145623435,uq_benchmark_tissuemnist_vit_b_16_DA_20260116_130554.json
ID_tissuemnist_vit_b_16_DADO,ID,tissuemnist,vit_b_16,DADO,0.7119712351945855,0.08718953722074775,uq_benchmark_tissuemnist_vit_b_16_DADO_20260117_042439.json
ID_tissuemnist_vit_b_16_DO,ID,tissuemnist,vit_b_16,DO,0.7041243654822334,0.09083264151034551,uq_benchmark_tissuemnist_vit_b_16_DO_20260116_211219.json
ID_tissuemnist_vit_b_16_Baseline,ID,tissuemnist,vit_b_16,S,0.6975676818950931,0.09538300309242415,uq_benchmark_tissuemnist_vit_b_16_20260116_064320.json
New Class_amos2022_resnet18_DA,New Class,amos2022,resnet18,DA,0.259927797833935,0.2841971447808975,uq_benchmark_amos2022_resnet18_DA_20260114_162200.json
New Class_amos2022_resnet18_DADO,New Class,amos2022,resnet18,DADO,0.2549622588761532,0.29026753489605145,uq_benchmark_amos2022_resnet18_DADO_20260114_175520.json
New Class_amos2022_resnet18_DO,New Class,amos2022,resnet18,DO,0.22641509433962265,0.30927087699933226,uq_benchmark_amos2022_resnet18_DO_20260114_165127.json
New Class_amos2022_resnet18_Baseline,New Class,amos2022,resnet18,S,0.2454699886749717,0.2961500114148077,uq_benchmark_amos2022_resnet18_20260114_161249.json
New Class_amos2022_vit_b_16_DA,New Class,amos2022,vit_b_16,DA,0.2853311879860552,0.2672738318763137,uq_benchmark_amos2022_vit_b_16_DA_20260114_191850.json
New Class_amos2022_vit_b_16_DADO,New Class,amos2022,vit_b_16,DADO,0.29849960515925245,0.25762238036484714,uq_benchmark_amos2022_vit_b_16_DADO_20260118_140333.json
New Class_amos2022_vit_b_16_DO,New Class,amos2022,vit_b_16,DO,0.2803132595193087,0.27718002985514595,uq_benchmark_amos2022_vit_b_16_DO_20260114_201443.json
New Class_amos2022_vit_b_16_Baseline,New Class,amos2022,vit_b_16,S,0.28990141220357046,0.2700819360498811,uq_benchmark_amos2022_vit_b_16_20260114_183529.json
New Class_midog_resnet18_DA,New Class,midog,resnet18,DA,0.34269573940129877,0.2222934016709559,uq_benchmark_midog_resnet18_DA_20260203_192951.json
New Class_midog_resnet18_DADO,New Class,midog,resnet18,DADO,0.3396626710512358,0.2255239321536022,uq_benchmark_midog_resnet18_DADO_20260203_231602.json
New Class_midog_resnet18_DO,New Class,midog,resnet18,DO,0.31795770789963845,0.25687742026377264,uq_benchmark_midog_resnet18_DO_20260203_212351.json
New Class_midog_resnet18_Baseline,New Class,midog,resnet18,S,0.31529450585711927,0.256875671502405,uq_benchmark_midog_resnet18_20260203_181746.json
New Class_midog_vit_b_16_DA,New Class,midog,vit_b_16,DA,0.34679958027282265,0.2194187764049905,uq_benchmark_midog_vit_b_16_DA_20260204_140656.json
New Class_midog_vit_b_16_DADO,New Class,midog,vit_b_16,DADO,0.34556349873843567,0.2195678162894235,uq_benchmark_midog_vit_b_16_DADO_20260205_000645.json
New Class_midog_vit_b_16_DO,New Class,midog,vit_b_16,DO,0.3450470829607028,0.22296392874318996,uq_benchmark_midog_vit_b_16_DO_20260204_192129.json
New Class_midog_vit_b_16_Baseline,New Class,midog,vit_b_16,S,0.3460791007931089,0.220420108421977,uq_benchmark_midog_vit_b_16_20260204_114545.json
Population_amos2022_resnet18_DA,Population,amos2022,resnet18,DA,0.7238680827277809,0.07087814765158554,uq_benchmark_amos2022_resnet18_DA_20260115_070041.json
Population_amos2022_resnet18_DADO,Population,amos2022,resnet18,DADO,0.6975964225824483,0.08534532346452345,uq_benchmark_amos2022_resnet18_DADO_20260115_073257.json
Population_amos2022_resnet18_DO,Population,amos2022,resnet18,DO,0.607043040804919,0.14476252460146327,uq_benchmark_amos2022_resnet18_DO_20260115_071758.json
